,lab,Type,Pair,Cave,Bat
CLC170316.1,CLC170316.1,Bat,A,CLC,COTO
CLC170316.10,CLC170316.10,Mat,C,CLC,Mat
CLC170316.12,CLC170316.12,Bat,D2,CLC,COTO
CLC170316.13,CLC170316.13,Bat,D1,CLC,COTO
CLC170316.16.D1,CLC170316.16.D1,Mat,D1,CLC,Mat
CLC170316.16.D2,CLC170316.16.D2,Mat,D2,CLC,Mat
CLC170316.17,CLC170316.17,Bat,E,CLC,COTO
CLC170316.18,CLC170316.18,Mat,E,CLC,Mat
CLC170316.19.NEG,CLC170316.19.NEG,Air,Air,CLC,Air
CLC170316.2,CLC170316.2,Bat,B,CLC,COTO
CLC170316.3,CLC170316.3,Mat,A,CLC,Mat
CLC170316.4,CLC170316.4,Mat,B,CLC,Mat
CLC170316.7.NEG,CLC170316.7.NEG,Air,Air,CLC,Air
CLC170316.8,CLC170316.8,Bat,C,CLC,MYVO
CLC170316.9.NEG,CLC170316.9.NEG,Air,Air,CLC,Air
EST170317.1,EST170317.1,Bat,Z,EST,MYVO
EST170317.10,EST170317.10,Mat,Y,EST,Mat
EST170317.11,EST170317.11,Mat,X,EST,Mat
EST170317.12,EST170317.12,Mat,V,EST,Mat
EST170317.19.NEG,EST170317.19.NEG,Air,Air,EST,Air
EST170317.2,EST170317.2,Bat,Q,EST,MYVO
EST170317.3,EST170317.3,Bat,X,EST,MYEV
EST170317.4,EST170317.4,Bat,Y,EST,MYTH
EST170317.5,EST170317.5,Bat,V,EST,MYTH
EST170317.6,EST170317.6,Bat,W,EST,MYVO
EST170317.7,EST170317.7,Mat,W,EST,Mat
EST170317.8,EST170317.8,Mat,Q,EST,Mat
EST170317.9,EST170317.9,Mat,Z,EST,Mat
